Name,$.01 & $.02 Slot Machines,$.05 Slot Machines,$.25 Slot Machines,$.50 Slot Machines,$1.00 Slot Machines,$5.00 Slot Machines,$25 Slot Machines,$100 Slot Machines,Multi-Denominational Slot Machines,Other Slot Machines
Bally's,12.4,9.6,9.5,5.3,7.4,7.4,7.1,11.5,5.8,6.7
Borgata,10.1,7,9,6.1,8.7,7.5,8.8,7.9,6.1,8.7
Caesars,11.8,10.3,8.7,7.2,9.1,7.1,8.9,9.2,5.7,5.3
Golden Nugget,11,8,8.3,1.5,8.1,6.5,4.1,6,7.9,7.1
Hard Rock,11.4,11.6,9,-0,9.5,7.2,4,8.8,7.7,9.2
Harrah's,12.4,7.1,9.4,6.1,8.4,9,4.7,9,5.2,15.1
Ocean Resort,12.3,9.9,10.8,-0,10.6,5.8,9.4,3.9,7,7.2
Resorts,11,9,9.4,8.7,8.1,6.4,7.8,6.3,7.2,7.2
Tropicana,12.1,5.6,7.9,4.4,7.9,7.3,5.1,11.9,7,12.7
Total,11.3,7.4,9,5.9,8.4,7.4,6.6,8.4,6.3,8.2